Id,Active,ProductCode,ProductType,Name,ProductFamily,Category,GLAccount,Description,UnitOfMeasure,Tags,UnitCost,LotAndExpiryControl,ColdChain,ControlledSubstance,HazardousMaterial,Reconditioned,Manufacturer,BrandName,ManufacturerCode,ManufacturerName,Vendor,VendorCode,VendorName,UPC,NDC,Created,Updated
,TRUE,,Default,Prostaglandin E1 0.5mg/mL in alcohol,,Medicines administered to the neonate [c],,,Each,Other specified congenital anomaly of great arteries including arterial duct,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Prostaglandin E2 1mg/mL in alcohol,,Medicines administered to the neonate [c],,,Each,Other specified congenital anomaly of great arteries including arterial duct,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Protamine sulfate injection 10mg/mL in 5mL ampoule,,Medicines affecting coagulation,,,Each,Haemorrhagic disorder due to other specified circulating anticoagulants,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pyrantel 250mg chewable tablet,,Intestinal anthelminthics,,,Each,Ascariasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pyrazinamide 400mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pyridostigmine 60mg tablet,,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,,,Each,Myasthenia gravis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pyridoxine 25mg tablet,,Vitamins and minerals,,,Each,Other specified polyneuropathy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pyrimethamine 25mg tablet,,Antipneumocystosis and antitoxoplasmosis medicines,,,Each,Toxoplasmosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Quinine injection 300mg/mL in 2mL ampoule,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rabies vaccine,,Recommendations for some high-risk populations,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Raltegravir 400mg tablet,,Integrase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ranitidine injection 25mg/mL in 2mL ampoule,,Antiulcer medicines,,,Each,Peptic ulcer site unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Red blood cells,,Blood and blood components,,,Each,Blood transfusion without reported diagnosis,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Riboflavin 5mg tablet,,Vitamins and minerals,,,Each,Vitamin B2 deficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rifabutin 150mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rifampicin 150mg tablet,,Antituberculosis medicines,,,Each,"Tuberculosis,Leprosy",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rifampicin 300mg tablet,,Antituberculosis medicines,,,Each,"Tuberculosis,Leprosy",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rifapentine 150mg tablet,,Antituberculosis medicines,,,Each,"Tuberculosis,Latent tuberculosis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rifapentine 300mg tablet,,Antituberculosis medicines,,,Each,"Tuberculosis,Latent tuberculosis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Risperidone 1mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ritonavir 100mg tablet,,Protease inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rituximab injection 100mg/10mL,,Targeted therapies,,,Each,Follicular lymphoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Rotavirus vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Rubella vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Salbutamol 100ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Chronic obstructive pulmonary disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Salicylic acid 5% solution,,Medicines affecting skin differentiation and proliferation,,,Each,Seborrhoeic dermatitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Senna 7.5mg tablet,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Silver sulfadiazine 1% cream,,Anti-infective medicines,,,Each,Burns,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Simvastatin 10mg tablet,,Lipid-lowering agents,,,Each,"Coronary atherosclerosis,Mixed hyperlipidaemia",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Simvastatin 20mg tablet,,Lipid-lowering agents,,,Each,"Coronary atherosclerosis,Mixed hyperlipidaemia",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Sodium calcium edetate injection, 200mg/mL in 5mL ampoule",,Specific,,,Each,Harmful effects of or exposure to noxious substances chiefly nonmedicinal as to source not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sodium chloride 0.9% (normal saline),,Parenteral,,,Each,Other specified disorders of fluid electrolyte or acid-base balance,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Sodium nitrite injection, 30mg/mL in 10mL ampoule",,Specific,,,Each,Harmful effects of or exposure to noxious substances chiefly nonmedicinal as to source not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Sodium nitroprusside powder for infusion, 50mg",,Antihypertensive medicines,,,Each,Hypertensive crisis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Sodium stibogluconate injection, 100mg/mL in 30mL vial",,Antileishmaniasis medicines,,,Each,Visceral leishmaniasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sodium thiosulfate 15% solution,,Antifungal medicines (topical),,,Each,Pityriasis versicolor,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sofosbuvir 400mg,,Pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sofosbuvir 400mg + velpatasvir 100mg tablet,,Pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Spironolactone 25mg tablet,,Diuretics,,,Each,Heart failure,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Streptokinase powder for injection 1.5 million IU,,Thrombolytic medicines,,,Each,Acute myocardial infarction,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Streptomycin powder for injection 1g,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Succimer 100mg tablet,,Specific,,,Each,Harmful effects of or exposure to noxious substances chiefly nonmedicinal as to source not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfadiazine 500mg tablet,,Antipneumocystosis and antitoxoplasmosis medicines,,,Each,Toxoplasmosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfadoxine 500mg + pyrimethamine 25mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfamethoxazole 100mg + trimethoprim 20mg tablet,,Access group antibiotics,,,Each,Infectious cystitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfamethoxazole 400mg + trimethoprim 80mg tablet,,Access group antibiotics,,,Each,Infectious gastroenteritis or colitis without specification of infectious agent,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfamethoxazole 800mg + trimethoprim 160mg tablet,,Antipneumocystosis and antitoxoplasmosis medicines,,,Each,Pneumocystosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfasalazine 500mg rectal suppository,,Anti-inflammatory medicines,,,Each,Crohn disease site,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sulfasalazine 500mg tablet,,Disease-modifying anti-rheumatic drugs (DMARDs),,,Each,Rheumatoid arthritis serology unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sumatriptan 50mg tablet,,For treatment of acute attack,,,Each,Migraine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Sumatriptan powder for injection 1g,,Medicines for the treatment of 1st stage African trypanosomiasis,,,Each,African trypanosomiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Suxamethonium injection, 50mg/mL in 2mL ampoule",,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,,,Each,Muscle relaxants,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tacrolimus 2mg tablet,,Immunomodulators for non-malignant disease,,,Each,Failure or rejection of transplanted organs or tissues,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tamoxifen 10mg tablet,,Hormones and antihormones,,,Each,Malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tamoxifen 20mg tablet,,Hormones and antihormones,,,Each,Malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tenofovir disoproxil fumarate 300mg tablet,,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,"Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,Chronic hepatitis B",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Terbinafine 1% cream,,Antifungal medicines (topical),,,Each,Fungal infection of the skin,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Testosterone injection 200mg/mL,,Androgens,,,Each,Testicular dysfunction or testosterone-related disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tetanus vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Tetracaine 0.5% eye drops,,Local anaesthetics (eye),,,Each,Local anaesthetics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Thalidomide 50mg tablet,,Immunomodulators,,,Each,Plasma cell myeloma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Thiamine 50mg tablet,,Vitamins and minerals,,,Each,Vitamin B1 deficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tick-borne encephalitis vaccine,,Recommendations for certain regions,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Timolol 0.25% eye drops,,Miotics and antiglaucoma medicines,,,Each,"Primary open-angle glaucoma,Ocular hypertension",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Timolol 0.5% eye drops,,Miotics and antiglaucoma medicines,,,Each,"Primary open-angle glaucoma,Ocular hypertension",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tioguanine 40mg tablet,,Cytotoxic medicines,,,Each,Lymphoid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Tranexamic acid injection, 100mg/mL, in 10mL ampoule",,Medicines affecting coagulation,,,Each,Haemorrhage not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Trastuzumab powder for iunjection, 60mg",,Targeted therapies,,,Each,Carcinoma of breast specialised type,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Triclabendazole 250mg tablet,,Antischistosomals and other antitrematode medicines,,,Each,Paragonimiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Trimethoprim 100mga tblet,,Access group antibiotics,,,Each,Infectious cystitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Tropicamide 0.5% eye drops,,Ophthalmic medicines,,,Each,Cycloplegic drug,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Tuberculin, purified protein derivative",,Diagnostic agents,,,Each,Mycobacterial diseases,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Typhoid vaccine,,Recommendations for some high-risk populations,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Ulipristal 30mg tablet,,Oral hormonal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Urea 5% cream,,Medicines affecting skin differentiation and proliferation,,,Each,Xerosis cutis or asteatosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Valganciclovir powder for oral solution, 50mg",,Other antivirals,,,Each,Cytomegaloviral retinitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Valproic acid (sodium valproate) 200mg tablet,,Anticonvulsants/antiepileptics,,,Each,"Bipolar or related disorders,Epilepsy or seizures,Status epilepticus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Valproic acid (sodium valproate) 500mg tablet,,Anticonvulsants/antiepileptics,,,Each,"Bipolar or related disorders,Epilepsy or seizures,Status epilepticus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Valproic acid (sodium valproate) oral solution, 200mg/5mL",,Anticonvulsants/antiepileptics,,,Each,"Epilepsy or seizures,Status epilepticus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Vancomycin 150mg tablet,,Watch group antibiotics,,,Each,Endophthalmitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Vancomycin 250mg tablet,,Watch group antibiotics,,,Each,Endophthalmitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Varenicline 1mg tablet,,Medicines for disorders due to psychoactive substance use,,,Each,Nicotine dependence,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Varicella vaccine,,Recommendations for immunization programmes with certain characteristics,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Vecuronium powder for injection 10mg,,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,,,Each,Muscle relaxants,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Verapamil 40mg tablet,,Antiarrhythmic medicines,,,Each,Supraventricular tachyarrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Verapamil 80mg tablet,,Antianginal medicines,,,Each,Angina pectoris,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Vinorelbine injection, 10mg/mL in 1mL vial",,Cytotoxic medicines,,,Each,Other specified malignant neoplasms of bronchus or lung,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Voriconazole 200mg tablet,,Antifungal medicines,,,Each,Chronic pulmonary aspergillosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Voriconazole powder for injection 200mg,,Antifungal medicines,,,Each,Invasive aspergillosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Warfarin 0.5mg tablet,,Medicines affecting coagulation,,,Each,"Venous thromboembolism,Cerebral ischaemic stroke due to embolic occlusion,Other specified diseases of arteries or arterioles",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Warfarin 1mg tablet,,Medicines affecting coagulation,,,Each,"Venous thromboembolism,Cerebral ischaemic stroke due to embolic occlusion,Other specified diseases of arteries or arterioles",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Warfarin 5mg tablet,,Medicines affecting coagulation,,,Each,"Venous thromboembolism,Cerebral ischaemic stroke due to embolic occlusion,Other specified diseases of arteries or arterioles",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Water for injection,,Miscellaneous,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Whole blood,,Blood and blood components,,,Each,Blood transfusion without reported diagnosis,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Xylometazoline 0.05% nasal spray,,"Ear, nose and throat medicines [c]",,,Each,Nasal congestion,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Yellow fever vaccine,,Recommendations for certain regions,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Zidovudine 300mg tablet,,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Zinc sulfate 20mg tablet,,Medicines for diarrhoea,,,Each,Diarrhoea,,TRUE,,,,,,,,,,,,,,,
